IdPuntoRecarga|Operador|Direccion|CodPostal|Provincia|Municipio|Localizacion|CoordenadaXDec|CoordenadaYDec|PotenciaMaxima
ES*FCT*E227540|CHARGING TOGETHER SL|Viejo De Bunyola,43|7009|BALEARES|PALMA DE MALLORCA|APARCAMIENTO ÁEREO|2.673979|39.601421|120.00
ES*FCT*E227560|CHARGING TOGETHER SL|C-5105,1|45560|TOLEDO|OROPESA|EN LA CALLE|-5.185408|39.926898|50.00
ES*FCT*E227546|CHARGING TOGETHER SL|Alqueria De Culla,12|46910|VALENCIA|ALFAFAR|APARCAMIENTO ÁEREO|-0.385723|39.414589|120.00
ES*FCT*E227568|CHARGING TOGETHER SL|Urb. Guadacorte Park. Autovía A-7,115|11370|CADIZ|LOS BARRIOS|APARCAMIENTO ÁEREO|-5.428848|36.195468|150.00
ES*FCT*E227572|CHARGING TOGETHER SL|A5 - Salida 341,N/A|6800|BADAJOZ|MERIDA|APARCAMIENTO ÁEREO|-6.36091|38.93821|150.00
ES*FCT*E227584|CHARGING TOGETHER SL|Santa Ana,7|5001|AVILA|AVILA|EN LA CALLE|-4.690103|40.655552|80.00
ES*FCT*E227578|CHARGING TOGETHER SL|Marina Española,77|21260|HUELVA|SANTA OLALLA DEL CALA|APARCAMIENTO ÁEREO|-6.221099|37.904178|150.00
ES*FCT*E227586|CHARGING TOGETHER SL|Madrid,102|5005|AVILA|AVILA|EN LA CALLE|-4.704019|40.660504|80.00
ES*FCT*E227588|CHARGING TOGETHER SL|Juan Pablo Ii,14|5003|AVILA|AVILA|EN LA CALLE|-4.696885|40.647676|80.00
ES*FCT*E227881|CHARGING TOGETHER SL|Rio Cea,1|5005|AVILA|AVILA|EN LA CALLE|-4.685987|40.66817|100.00
ES*FCT*E227592|CHARGING TOGETHER SL|Ciento Sesenta Y Tres,1135|3295|ALICANTE|ELCHE/ELX|APARCAMIENTO ÁEREO|-0.60557|38.30772|80.00
ES*FCT*E227600|CHARGING TOGETHER SL|Puerto De Gotemburgo,2|37009|SALAMANCA|SALAMANCA|APARCAMIENTO ÁEREO|-5.726509|40.959453|200.00
ES*FCT*E227608|CHARGING TOGETHER SL|Ciento Sesenta Y Tres,1135|3295|ALICANTE|ELCHE/ELX|EN LA CALLE|-0.605645|38.30987|200.00
ES*FCT*E227622|CHARGING TOGETHER SL|Mas Falgas,2|17005|GIRONA|VILABLAREIX|APARCAMIENTO ÁEREO|2.800894|41.95728|22.00
ES*FCT*E227616|CHARGING TOGETHER SL|Eduardo Torroja,7|28914|MADRID|LEGANES|APARCAMIENTO ÁEREO|-3.744669|40.318269|7.40
ES*FCT*E227624|CHARGING TOGETHER SL|Arzanegui,1|31870|NAVARRA|LEKUNBERRI|EN LA CALLE|-1.895971|43.004579|22.00
ES*FCT*E227626|CHARGING TOGETHER SL|N-301,32|30100|MURCIA|MURCIA|APARCAMIENTO ÁEREO|-1.172282|38.029167|22.00
ES*FCT*E227628|CHARGING TOGETHER SL|Comercial Galaria Calle T,1|31191|NAVARRA|GALAR|APARCAMIENTO ÁEREO|-1.633366|42.786052|22.00
ES*FCT*E227630|CHARGING TOGETHER SL|Cedro,5|28350|MADRID|CIEMPOZUELOS|APARCAMIENTO ÁEREO|-3.629581|40.16594|22.00
ES*FCT*E227632|CHARGING TOGETHER SL|Ferreira Mosteiro,88|27153|LUGO|OUTEIRO DE REI|APARCAMIENTO ÁEREO|-7.546485|43.087288|22.00
ES*FCT*E227634|CHARGING TOGETHER SL|Rei Jaume I,9|3509|ALICANTE|FINESTRAT|APARCAMIENTO ÁEREO|-0.17187|38.53453|22.00
ES*FCT*E227640|CHARGING TOGETHER SL|Paduleta,57|1015|ARABA|VITORIA GASTEIZ|APARCAMIENTO ÁEREO|-2.748476|42.829257|22.00
ES*FCT*E227636|CHARGING TOGETHER SL|Hermanos Lumiere,2|1510|ARABA|VITORIA GASTEIZ|EN LA CALLE|-2.663482|42.910032|22.00
ES*FCT*E228203|CHARGING TOGETHER SL|Teresa Claramunt,2|19005|GUADALAJARA|GUADALAJARA|APARCAMIENTO ÁEREO|-3.156205|40.644883|120.00
ES*FCT*E227642|CHARGING TOGETHER SL|Plaza España,1|47001|VALLADOLID|VALLADOLID|APARCAMIENTO ÁEREO|-4.725487|41.648749|22.00
ES*FCT*E228699|CHARGING TOGETHER SL|Rio Ebro,6|30834|MURCIA|MURCIA|APARCAMIENTO ÁEREO|-1.249102|37.952127|150.00
ES*FCT*E228451|CHARGING TOGETHER SL|Italia (Pg.Ind.La Granadina),8|3349|ALICANTE|SAN ISIDRO|APARCAMIENTO ÁEREO|-0.852144|38.169971|150.00
ES*FCT*E227668|CHARGING TOGETHER SL|Solia,16|39692|CANTABRIA|VILLAESCUSA|APARCAMIENTO ÁEREO|-3.839378|43.383318|180.00
ES*FCT*E227670|CHARGING TOGETHER SL|Alto De Armentia,10|1007|ARABA|VITORIA GASTEIZ|EN LA CALLE|-2.70065|42.837033|100.00
ES*FCT*E227672|CHARGING TOGETHER SL|San Bartolome,0|31694|NAVARRA|ERRO|APARCAMIENTO ÁEREO|-1.369789|42.97904|100.00
ES*FCT*E227682|CHARGING TOGETHER SL|Austria,11|50800|ZARAGOZA|ZUERA|APARCAMIENTO ÁEREO|-0.783205|41.883464|100.00
ES*FCT*E227686|CHARGING TOGETHER SL|Gimnasta Elena Lopez,5|46389|VALENCIA|TURIS|APARCAMIENTO ÁEREO|-0.709137|39.392593|120.00
ES*FCT*E227688|CHARGING TOGETHER SL|Damiá Rius,6|8243|BARCELONA|MANRESA|EN LA CALLE|1.847445|41.725338|100.00
ES*FCT*E227692|CHARGING TOGETHER SL|Bronce,7|3690|ALICANTE|SAN VICENTE DEL RASPEIG|APARCAMIENTO ÁEREO|-0.51141|38.39146|100.00
ES*FCT*E227843|CHARGING TOGETHER SL|Tecnologico,502|48160|BIZKAIA|ZAMUDIO|EN LA CALLE|-2.867507|43.295078|22.00
ES*FCT*E227696|CHARGING TOGETHER SL|Campus Universidad,0|48950|BIZKAIA|LEIOA|APARCAMIENTO ÁEREO|-2.966664|43.331733|100.00
ES*FCT*E227698|CHARGING TOGETHER SL|Gimnasta Elena Lopez,5|46389|VALENCIA|TURIS|EN LA CALLE|-0.709192|39.392571|120.00
ES*FCT*E227700|CHARGING TOGETHER SL|Vallespir,2|8304|BARCELONA|MATARO|APARCAMIENTO ÁEREO|2.459354|41.553893|100.00
ES*FCT*E227702|CHARGING TOGETHER SL|Buruntza Auzoa,105|20140|GIPUZKOA|ANDOAIN|APARCAMIENTO ÁEREO|-2.02355|43.22486|100.00
ES*FCT*E227704|CHARGING TOGETHER SL|Bremen,10|1010|ARABA|VITORIA GASTEIZ|APARCAMIENTO ÁEREO|-2.709212|42.853656|120.00
